NAME,COUNT,PCT2PRACE,PCTAIAN,PCTAPI,PCTBLACK,PCTHISPANIC,PCTWHITE,NAME
ALISTAIR,26,0.0,0.0,0.0,0.0,0.0,100.0,ALISTAIR
ALIX,37,2.703,0.0,2.703,13.514,5.405,75.676,ALIX
ALIZA,33,0.0,3.03,0.0,9.091,6.061,81.818,ALIZA
ALKA,36,0.0,2.778,80.556,0.0,0.0,16.667,ALKA
ALLA,126,0.0,0.0,0.0,0.0,0.794,99.206,ALLA
ALLAN,1113,0.27,0.09,7.457,1.887,2.066,88.23,ALLAN
ALLEN,1912,0.471,0.052,5.178,4.498,1.046,88.755,ALLEN
ALLENE,31,0.0,0.0,6.452,22.581,0.0,70.968,ALLENE
ALLISON,1774,0.169,0.0,1.917,1.917,0.62,95.378,ALLISON
ALLYN,57,0.0,0.0,0.0,3.509,5.263,91.228,ALLYN
ALLYSON,255,0.0,0.0,0.784,3.137,0.0,96.078,ALLYSON
ALMA,611,0.0,0.0,5.074,7.201,56.137,31.588,ALMA
ALOK,36,0.0,2.778,72.222,2.778,0.0,22.222,ALOK
ALON,33,0.0,0.0,6.061,3.03,0.0,90.909,ALON
ALONSO,51,0.0,0.0,1.961,1.961,82.353,13.725,ALONSO
ALONZO,81,0.0,0.0,2.469,44.444,18.519,34.568,ALONZO
ALPHONSE,49,0.0,0.0,0.0,14.286,2.041,83.673,ALPHONSE
ALPHONSO,56,0.0,0.0,1.786,76.786,7.143,14.286,ALPHONSO
ALTA,47,0.0,0.0,2.128,6.383,0.0,91.489,ALTA
ALTAGRACIA,43,0.0,0.0,2.326,0.0,90.698,6.977,ALTAGRACIA
ALTHEA,77,0.0,0.0,5.195,50.649,2.597,41.558,ALTHEA
ALTON,127,0.0,0.787,2.362,22.047,0.787,74.016,ALTON
ALVA,71,0.0,0.0,5.634,15.493,25.352,53.521,ALVA
ALVARO,272,0.0,0.0,0.368,0.0,87.132,12.5,ALVARO
ALVIN,595,0.0,0.0,12.773,21.008,3.866,62.353,ALVIN
ALYCE,103,0.0,0.0,0.971,6.796,1.942,90.291,ALYCE
ALYCIA,51,0.0,0.0,0.0,7.843,3.922,88.235,ALYCIA
ALYSE,25,0.0,0.0,0.0,0.0,0.0,100.0,ALYSE
ALYSIA,33,0.0,0.0,0.0,0.0,0.0,100.0,ALYSIA
ALYSON,193,0.0,0.0,1.036,1.554,1.036,96.373,ALYSON
ALYSSA,321,0.312,0.0,2.804,0.312,4.673,91.9,ALYSSA
AMADO,64,0.0,0.0,26.563,0.0,68.75,4.688,AMADO
AMADOR,35,0.0,0.0,14.286,0.0,80.0,5.714,AMADOR
AMAL,52,0.0,0.0,25.0,7.692,0.0,67.308,AMAL
AMALIA,111,0.0,0.901,7.207,0.0,57.658,34.234,AMALIA
AMANDA,4395,0.205,0.205,0.933,1.206,3.14,94.312,AMANDA
AMAR,43,0.0,0.0,48.837,2.326,2.326,46.512,AMAR
AMARJIT,45,0.0,0.0,82.222,0.0,2.222,15.556,AMARJIT
AMBER,1557,0.128,0.193,0.771,1.991,1.863,95.055,AMBER
AMELIA,439,0.0,0.0,10.706,5.467,22.096,61.731,AMELIA
AMER,33,0.0,0.0,33.333,0.0,0.0,66.667,AMER
AMI,115,0.0,0.0,13.043,4.348,0.87,81.739,AMI
AMIE,220,0.0,0.0,2.273,3.636,1.364,92.727,AMIE
AMIN,52,0.0,1.923,25.0,7.692,5.769,59.615,AMIN
AMINA,30,0.0,0.0,26.667,26.667,0.0,46.667,AMINA
AMIR,209,1.435,0.478,18.182,2.392,1.914,75.598,AMIR
AMIT,233,0.0,0.858,73.82,0.429,0.0,24.893,AMIT
AMITA,46,0.0,6.522,67.391,0.0,0.0,26.087,AMITA
