name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 90747,22,9,0,0,4,0,4,1,90747
ZCTA5 90755,11923,529,34,81,1559,2603,4233,2834,90755
ZCTA5 90802,41686,2079,177,195,6169,3496,15133,13990,90802
ZCTA5 90803,32192,1731,66,78,1047,2159,5906,20988,90803
ZCTA5 90804,39370,1682,143,148,4998,5168,18249,8773,90804
ZCTA5 90805,95350,2384,190,1545,16774,10414,56677,6886,90805
ZCTA5 90806,41611,1325,88,386,6232,7834,21630,3899,90806
ZCTA5 90807,32412,1802,68,229,4704,5305,9712,10420,90807
ZCTA5 90808,39747,2679,67,175,1527,3898,10535,20653,90808
ZCTA5 90810,38529,1017,76,784,4683,8990,20431,2414,90810
ZCTA5 90813,54565,1420,128,305,7058,6814,34112,4440,90813
ZCTA5 90814,19042,1236,50,68,1263,1446,5170,9657,90814
ZCTA5 90815,41837,2721,78,176,2145,5268,10037,21167,90815
ZCTA5 90822,54,0,0,0,11,1,13,29,90822
ZCTA5 90831,0,0,0,0,0,0,0,0,90831
ZCTA5 90840,8,1,0,0,2,0,5,0,90840
ZCTA5 91001,36578,2038,36,25,6896,2346,11066,13900,91001
ZCTA5 91006,31949,850,33,7,349,19643,4821,6130,91006
ZCTA5 91007,33804,887,49,36,613,21817,4553,5696,91007
ZCTA5 91008,1010,37,4,1,18,349,230,366,91008
ZCTA5 91010,26730,640,57,17,1456,4926,14058,5448,91010
ZCTA5 91011,20588,1047,24,2,133,6407,1720,11127,91011
ZCTA5 91016,41852,1699,68,30,2061,6927,16789,14030,91016
ZCTA5 91020,8439,347,14,5,100,2173,1442,4308,91020
ZCTA5 91024,11268,641,20,10,153,1408,1923,7046,91024
ZCTA5 91030,26927,1675,28,9,638,9134,5579,9692,91030
ZCTA5 91040,21588,788,46,20,303,1499,5557,13259,91040
ZCTA5 91042,28036,920,35,15,353,2349,6870,17375,91042
ZCTA5 91046,141,6,0,0,0,13,23,99,91046
ZCTA5 91101,20583,840,34,46,1294,4857,5436,7951,91101
ZCTA5 91103,26887,863,51,14,3853,2795,13704,5435,91103
ZCTA5 91104,34707,1539,47,48,2683,3193,12844,14159,91104
ZCTA5 91105,13869,728,16,5,626,2704,2201,7514,91105
ZCTA5 91106,24172,1115,36,24,1282,5694,6550,9315,91106
ZCTA5 91107,33729,1501,37,28,1546,8013,8796,13622,91107
ZCTA5 91108,12777,511,4,7,60,7658,915,3598,91108
ZCTA5 91125,161,18,0,0,7,40,36,54,91125
ZCTA5 91201,22608,726,8,13,314,1848,3695,15932,91201
ZCTA5 91202,22875,838,25,10,385,2843,2775,15919,91202
ZCTA5 91203,16930,598,29,12,543,3093,2648,9927,91203
ZCTA5 91204,17302,480,39,20,553,2932,5044,8156,91204
ZCTA5 91205,36693,937,31,15,522,4948,8724,21388,91205
