name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 15120,17950,777,12,1,3638,191,434,12775,15120
ZCTA5 15122,19340,861,14,0,2469,149,440,15321,15122
ZCTA5 15123,5,0,1,0,1,0,0,3,15123
ZCTA5 15126,7335,271,4,2,180,131,194,6518,15126
ZCTA5 15129,10901,390,10,5,340,196,169,9753,15129
ZCTA5 15131,8144,252,7,7,419,48,147,7226,15131
ZCTA5 15132,19418,1117,52,5,7033,52,671,10364,15132
ZCTA5 15133,6144,299,7,0,196,17,116,5475,15133
ZCTA5 15135,4820,166,3,0,129,11,59,4440,15135
ZCTA5 15136,23663,1092,32,2,4745,421,555,16683,15136
ZCTA5 15137,9939,490,12,2,1844,61,194,7295,15137
ZCTA5 15139,6764,205,1,0,118,74,147,6215,15139
ZCTA5 15140,3103,197,1,3,783,13,72,2016,15140
ZCTA5 15142,1894,56,0,0,47,163,36,1579,15142
ZCTA5 15143,22329,706,14,8,455,2131,533,18378,15143
ZCTA5 15144,3998,174,4,0,52,2,55,3683,15144
ZCTA5 15145,6923,444,6,2,1878,104,146,4292,15145
ZCTA5 15146,28672,1213,32,7,4333,2132,785,19997,15146
ZCTA5 15147,16356,697,14,0,3831,105,357,11299,15147
ZCTA5 15148,2363,144,5,0,722,9,75,1397,15148
ZCTA5 15201,12802,485,13,2,1806,426,398,9607,15201
ZCTA5 15202,20081,1055,32,8,1795,295,558,16259,15202
ZCTA5 15203,10720,429,2,5,629,411,437,8749,15203
ZCTA5 15204,8213,600,13,9,3408,262,246,3563,15204
ZCTA5 15205,23594,1082,18,1,2551,1397,662,17749,15205
ZCTA5 15206,28774,1304,58,10,9090,2109,1116,14895,15206
ZCTA5 15207,10615,491,18,1,2352,261,295,7145,15207
ZCTA5 15208,9601,424,21,4,5211,248,277,3355,15208
ZCTA5 15209,12044,412,16,0,225,129,264,10966,15209
ZCTA5 15210,25123,1593,61,11,7581,855,1050,13774,15210
ZCTA5 15211,10935,453,7,10,925,140,332,9035,15211
ZCTA5 15212,27016,1270,39,7,7374,592,803,16763,15212
ZCTA5 15213,31075,1099,73,1,3577,4871,1322,19785,15213
ZCTA5 15214,14072,600,15,3,5657,101,368,7233,15214
ZCTA5 15215,12489,457,6,0,529,509,387,10549,15215
ZCTA5 15216,22966,948,17,4,1259,616,1345,18692,15216
ZCTA5 15217,26851,1233,19,8,863,3688,1133,19719,15217
ZCTA5 15218,13497,578,13,10,3368,310,489,8661,15218
ZCTA5 15219,10949,410,24,4,7007,479,312,2655,15219
ZCTA5 15220,17840,650,16,5,1415,2935,428,12321,15220
ZCTA5 15221,28913,1271,45,6,13121,437,780,13081,15221
ZCTA5 15222,5976,171,4,1,500,476,305,4463,15222
ZCTA5 15223,7080,262,4,3,179,71,163,6360,15223
ZCTA5 15224,10568,396,11,2,2152,499,420,7016,15224
ZCTA5 15225,1108,68,5,2,87,8,61,877,15225
ZCTA5 15226,13931,628,12,7,772,393,487,11550,15226
ZCTA5 15227,30036,906,30,8,1787,3136,703,23310,15227
ZCTA5 15228,18110,746,10,3,268,891,601,15517,15228
ZCTA5 15229,14625,541,9,3,408,354,333,12930,15229
ZCTA5 15232,12042,436,3,3,562,2304,564,8111,15232
ZCTA5 15233,2656,119,6,1,1304,48,100,1061,15233
ZCTA5 15234,13966,473,3,3,393,698,408,11918,15234
ZCTA5 15235,34610,1684,36,6,14330,399,879,17002,15235
ZCTA5 15236,31594,990,19,14,1194,2728,490,26084,15236
ZCTA5 15237,45670,1444,24,12,955,2627,923,39550,15237
ZCTA5 15238,13266,481,1,0,192,1035,337,11165,15238
ZCTA5 15239,21211,692,14,2,956,266,362,18841,15239
ZCTA5 15241,22198,782,12,3,209,1888,621,18594,15241
ZCTA5 15243,14329,431,3,0,163,654,301,12737,15243
ZCTA5 15260,29,0,0,0,0,8,0,21,15260
ZCTA5 15275,50,7,1,0,5,2,1,34,15275
ZCTA5 15282,5066,78,36,0,1543,85,293,3030,15282
ZCTA5 15290,0,0,0,0,0,0,0,0,15290
ZCTA5 15301,48963,2369,70,28,2905,400,1130,41921,15301
ZCTA5 15310,265,13,0,0,0,0,2,250,15310
ZCTA5 15311,1340,28,0,0,6,7,9,1288,15311
ZCTA5 15312,3372,122,3,0,21,4,51,3160,15312
ZCTA5 15313,363,12,0,0,0,2,3,346,15313
ZCTA5 15314,3515,131,9,0,46,17,38,3265,15314
ZCTA5 15315,714,32,0,0,3,1,4,674,15315
ZCTA5 15316,246,13,2,0,0,1,6,222,15316
ZCTA5 15317,42801,1518,27,0,1102,857,860,38303,15317
ZCTA5 15320,5087,237,5,0,24,13,50,4756,15320
ZCTA5 15321,1792,32,0,0,18,9,14,1712,15321
ZCTA5 15322,1869,74,7,2,43,2,19,1717,15322
ZCTA5 15323,4217,167,6,1,15,8,45,3970,15323
ZCTA5 15324,600,27,0,0,3,2,6,561,15324
ZCTA5 15325,522,17,0,0,0,1,4,500,15325
ZCTA5 15327,1326,46,0,0,2,0,10,1264,15327
ZCTA5 15329,1430,42,1,0,3,4,10,1364,15329
ZCTA5 15330,5292,168,12,1,38,16,71,4975,15330
ZCTA5 15331,1003,45,3,2,33,0,6,905,15331
ZCTA5 15332,8058,270,5,2,64,43,96,7562,15332
ZCTA5 15333,2232,95,5,0,30,2,23,2069,15333
ZCTA5 15334,113,2,0,0,0,0,1,110,15334
ZCTA5 15337,560,14,0,0,0,0,6,539,15337
ZCTA5 15338,1538,70,2,1,4,1,15,1444,15338
ZCTA5 15340,1265,38,0,0,7,7,17,1194,15340
ZCTA5 15341,744,22,3,0,3,1,5,709,15341
ZCTA5 15342,5066,210,1,3,210,37,104,4476,15342
ZCTA5 15344,1471,64,1,0,13,3,26,1363,15344
ZCTA5 15345,1457,61,1,0,24,2,22,1342,15345
ZCTA5 15346,670,10,0,0,1,0,1,656,15346
ZCTA5 15347,608,21,4,3,13,4,9,553,15347
ZCTA5 15348,250,12,1,0,0,0,3,234,15348
ZCTA5 15349,1640,65,1,0,2,2,15,1550,15349
ZCTA5 15350,612,38,0,0,6,2,15,548,15350
ZCTA5 15351,837,52,0,0,6,1,6,767,15351
ZCTA5 15352,793,34,2,0,0,3,8,746,15352
ZCTA5 15353,47,0,0,0,0,0,0,47,15353
ZCTA5 15357,1518,67,2,0,8,3,9,1427,15357
ZCTA5 15358,852,24,0,0,16,0,11,801,15358
ZCTA5 15359,152,2,0,0,0,0,2,148,15359
ZCTA5 15360,1768,74,3,0,8,1,6,1670,15360
ZCTA5 15361,140,4,0,0,0,0,0,136,15361
ZCTA5 15362,616,15,0,0,0,0,3,598,15362
ZCTA5 15363,782,39,0,0,28,9,24,675,15363
ZCTA5 15364,589,11,1,0,1,1,3,572,15364
ZCTA5 15365,151,5,0,0,0,0,2,144,15365
ZCTA5 15366,141,9,0,0,0,0,4,128,15366
ZCTA5 15367,9634,319,8,3,44,251,214,8769,15367
ZCTA5 15368,473,24,0,0,6,2,2,433,15368
ZCTA5 15370,14153,384,43,4,968,87,297,12340,15370
ZCTA5 15376,1652,35,0,0,1,1,16,1596,15376
ZCTA5 15377,598,26,2,0,4,1,8,554,15377
ZCTA5 15378,82,5,0,0,12,0,4,61,15378
ZCTA5 15379,101,5,0,0,5,0,1,90,15379
ZCTA5 15380,624,9,3,0,0,0,12,600,15380
ZCTA5 15401,30619,1541,40,117,2554,169,482,25606,15401
ZCTA5 15410,799,44,0,0,38,0,7,704,15410
ZCTA5 15411,592,17,0,0,0,2,13,555,15411
ZCTA5 15412,257,14,0,0,2,0,2,239,15412
ZCTA5 15413,452,30,1,0,31,2,4,383,15413
ZCTA5 15416,498,6,0,0,12,4,0,473,15416
ZCTA5 15417,7973,425,4,11,502,29,153,6818,15417
ZCTA5 15419,3574,165,12,8,281,55,95,2945,15419
ZCTA5 15420,232,20,0,0,42,0,0,167,15420
ZCTA5 15421,136,2,0,0,0,0,0,134,15421
ZCTA5 15422,242,9,0,0,10,0,0,223,15422
ZCTA5 15423,1792,63,4,1,32,2,28,1657,15423
ZCTA5 15424,2252,46,5,0,3,4,26,2166,15424
ZCTA5 15425,17975,625,27,5,411,42,182,16657,15425
ZCTA5 15427,996,51,0,2,62,0,8,870,15427
ZCTA5 15428,1764,74,10,0,20,0,16,1643,15428
ZCTA5 15429,316,8,0,0,9,2,4,292,15429
ZCTA5 15430,263,6,0,0,0,0,1,256,15430
ZCTA5 15431,4375,149,2,0,41,9,31,4143,15431
ZCTA5 15432,371,13,0,0,10,0,6,342,15432
ZCTA5 15433,750,20,1,0,18,0,3,708,15433
ZCTA5 15434,246,15,0,1,1,0,3,226,15434
ZCTA5 15435,199,9,0,0,7,0,11,171,15435
ZCTA5 15436,2666,99,0,13,58,4,15,2476,15436
ZCTA5 15437,2426,76,3,0,25,10,66,2233,15437
ZCTA5 15438,2123,47,1,0,12,2,20,2038,15438
ZCTA5 15440,316,1,0,0,1,0,5,309,15440
ZCTA5 15442,2316,97,5,1,53,6,26,2125,15442
ZCTA5 15443,329,20,0,0,15,0,4,289,15443
ZCTA5 15444,469,26,0,0,40,3,5,393,15444
ZCTA5 15445,2688,80,2,0,34,8,17,2546,15445
ZCTA5 15446,112,4,0,0,0,0,1,107,15446
ZCTA5 15447,249,9,2,0,4,1,1,232,15447
ZCTA5 15448,154,20,0,0,0,0,0,134,15448
ZCTA5 15449,475,14,0,0,0,0,9,452,15449
ZCTA5 15450,2231,17,1,0,1033,1,131,1047,15450
ZCTA5 15451,854,40,3,0,6,0,11,792,15451
ZCTA5 15454,215,15,0,0,8,1,1,188,15454
ZCTA5 15455,404,12,0,0,6,3,0,383,15455
ZCTA5 15456,2368,85,3,0,45,10,46,2168,15456
ZCTA5 15458,2180,64,5,0,109,7,14,1972,15458
ZCTA5 15459,1531,43,7,0,8,5,12,1453,15459
ZCTA5 15460,113,9,0,0,1,2,3,98,15460
ZCTA5 15461,4078,235,12,3,183,15,27,3585,15461
ZCTA5 15462,284,5,0,0,0,0,2,274,15462
ZCTA5 15463,242,15,1,0,17,0,1,207,15463
ZCTA5 15464,1378,27,1,0,2,0,12,1334,15464
ZCTA5 15465,336,9,0,0,0,0,2,325,15465
ZCTA5 15466,374,8,0,0,1,0,10,355,15466
ZCTA5 15467,148,1,0,0,2,1,1,143,15467
ZCTA5 15468,2271,106,2,1,85,1,17,2054,15468
ZCTA5 15469,2260,59,2,0,2,0,11,2182,15469
ZCTA5 15470,859,20,0,0,0,5,6,828,15470
ZCTA5 15472,267,20,0,0,6,2,8,231,15472
ZCTA5 15473,3736,107,3,2,34,24,30,3531,15473
ZCTA5 15474,2096,127,0,0,17,0,33,1914,15474
ZCTA5 15475,970,76,9,2,70,2,7,795,15475
ZCTA5 15476,209,7,0,0,13,0,3,186,15476
ZCTA5 15477,894,43,0,0,8,0,17,826,15477
ZCTA5 15478,5889,216,8,3,31,8,37,5584,15478
ZCTA5 15479,1942,87,2,0,23,7,5,1817,15479
ZCTA5 15480,1657,41,5,2,11,1,29,1560,15480
ZCTA5 15482,484,11,1,0,0,2,9,461,15482
ZCTA5 15483,421,16,0,0,0,0,0,405,15483
ZCTA5 15484,594,15,0,1,25,1,1,550,15484
ZCTA5 15486,2127,64,1,0,8,0,25,2025,15486
ZCTA5 15488,65,4,1,0,2,0,1,57,15488
ZCTA5 15489,362,7,0,0,2,0,4,349,15489
ZCTA5 15490,550,13,0,0,0,0,3,533,15490
ZCTA5 15492,81,7,0,0,4,1,1,67,15492
ZCTA5 15501,16277,418,17,0,584,101,354,14762,15501
ZCTA5 15502,302,3,0,0,0,0,1,293,15502
ZCTA5 15510,2320,0,0,0,1157,3,202,958,15510
ZCTA5 15520,254,6,0,0,0,0,1,247,15520
ZCTA5 15521,1869,50,4,0,3,4,7,1799,15521
ZCTA5 15522,11622,302,25,0,90,78,175,10936,15522
ZCTA5 15530,5090,75,2,0,13,10,54,4923,15530
ZCTA5 15531,3614,117,0,0,20,13,40,3417,15531
ZCTA5 15532,120,3,0,0,0,0,0,116,15532
ZCTA5 15533,1301,38,2,0,6,5,19,1229,15533
ZCTA5 15534,842,30,0,0,1,0,4,807,15534
ZCTA5 15535,2127,62,4,0,0,1,15,2040,15535
ZCTA5 15536,427,20,0,0,7,2,3,395,15536
ZCTA5 15537,7629,210,9,0,26,27,80,7271,15537
ZCTA5 15538,655,14,0,0,1,0,6,630,15538
ZCTA5 15539,418,9,0,0,0,0,6,400,15539
ZCTA5 15540,403,13,0,0,0,0,5,384,15540
ZCTA5 15541,3622,101,11,0,2,2,41,3465,15541
ZCTA5 15542,1177,39,0,0,2,0,4,1131,15542
ZCTA5 15544,235,3,0,0,0,0,0,232,15544
ZCTA5 15545,2612,77,4,0,3,6,16,2502,15545
ZCTA5 15546,384,13,0,0,1,0,6,364,15546
ZCTA5 15547,402,3,0,0,0,0,9,390,15547
ZCTA5 15550,1577,43,2,0,3,0,20,1506,15550
ZCTA5 15551,674,14,0,0,1,0,1,658,15551
ZCTA5 15552,5988,132,0,0,7,6,24,5814,15552
ZCTA5 15554,2498,59,5,0,12,10,34,2377,15554
ZCTA5 15555,119,2,0,0,0,0,0,117,15555
ZCTA5 15557,3657,84,4,2,15,6,19,3519,15557
ZCTA5 15558,1914,41,0,0,2,4,5,1860,15558
ZCTA5 15559,1895,44,1,0,4,2,31,1810,15559
ZCTA5 15560,171,2,0,0,3,1,1,161,15560
ZCTA5 15561,151,1,0,0,0,1,0,149,15561
ZCTA5 15562,282,5,0,0,0,0,4,273,15562
ZCTA5 15563,3008,76,0,1,6,2,18,2903,15563
ZCTA5 15564,113,7,0,0,0,0,1,105,15564
ZCTA5 15565,43,6,0,0,0,0,0,37,15565
ZCTA5 15601,57141,2173,42,3,1489,589,998,51717,15601
ZCTA5 15610,3430,68,0,0,11,0,28,3317,15610
ZCTA5 15611,419,15,1,0,4,3,5,391,15611
ZCTA5 15612,385,15,1,0,0,3,5,360,15612
ZCTA5 15613,13462,491,10,5,130,45,130,12629,15613
ZCTA5 15615,244,12,0,0,4,0,0,228,15615
ZCTA5 15616,379,7,0,0,0,2,2,367,15616
ZCTA5 15617,251,8,0,0,1,0,2,240,15617
ZCTA5 15618,2272,110,0,0,16,2,7,2132,15618
ZCTA5 15619,412,0,0,0,8,0,1,403,15619
ZCTA5 15620,808,26,2,0,6,2,6,765,15620
ZCTA5 15622,1223,34,1,0,0,3,4,1180,15622
ZCTA5 15623,760,38,1,0,4,4,12,698,15623
ZCTA5 15624,353,9,0,0,0,0,2,335,15624
ZCTA5 15625,130,5,0,0,0,0,1,123,15625
ZCTA5 15626,5095,94,0,4,58,149,84,4692,15626
ZCTA5 15627,6461,183,6,0,49,11,69,6131,15627
ZCTA5 15628,410,7,0,0,3,6,0,394,15628
ZCTA5 15629,602,11,0,0,25,2,9,552,15629
ZCTA5 15631,986,41,0,0,26,4,2,908,15631
ZCTA5 15632,9662,318,6,1,131,337,150,8698,15632
ZCTA5 15633,504,10,0,0,3,6,11,474,15633
ZCTA5 15634,499,34,0,0,8,4,8,440,15634
ZCTA5 15635,270,10,1,0,4,2,6,246,15635
ZCTA5 15636,3730,83,0,0,25,34,64,3510,15636
ZCTA5 15637,1836,74,4,0,8,1,26,1720,15637
ZCTA5 15638,342,16,0,0,0,0,1,325,15638
ZCTA5 15639,2062,57,2,0,7,13,25,1953,15639
ZCTA5 15640,298,11,0,0,3,0,10,274,15640
ZCTA5 15641,509,25,0,0,1,3,6,473,15641
ZCTA5 15642,46461,1349,21,3,426,477,594,43511,15642
ZCTA5 15644,18320,913,8,1,770,94,268,16213,15644
ZCTA5 15646,201,12,0,0,0,0,2,187,15646
ZCTA5 15647,36,5,0,0,0,0,2,29,15647
ZCTA5 15650,26523,839,23,3,356,141,408,24708,15650
ZCTA5 15655,357,6,0,0,1,1,4,341,15655
ZCTA5 15656,9827,389,15,1,109,25,111,9162,15656
ZCTA5 15658,8149,198,7,3,17,18,98,7776,15658
ZCTA5 15660,230,14,0,0,2,1,0,210,15660
ZCTA5 15661,543,18,1,0,1,1,4,517,15661
ZCTA5 15662,393,9,0,0,3,3,2,376,15662
ZCTA5 15663,401,17,0,0,3,0,3,378,15663
ZCTA5 15665,1558,62,3,0,10,12,29,1436,15665
ZCTA5 15666,15585,513,8,0,142,46,180,14671,15666
ZCTA5 15668,13433,361,12,2,148,735,263,11864,15668
ZCTA5 15670,3435,120,4,2,15,15,30,3244,15670
ZCTA5 15671,684,16,1,0,2,2,2,661,15671
ZCTA5 15672,3320,94,2,0,50,32,45,3086,15672
ZCTA5 15673,1246,44,4,2,15,1,8,1171,15673
ZCTA5 15674,281,2,0,0,0,2,0,277,15674
ZCTA5 15675,993,36,1,0,11,0,10,935,15675
ZCTA5 15676,586,15,2,0,4,1,6,556,15676
ZCTA5 15677,382,6,0,0,12,2,6,353,15677
ZCTA5 15678,603,24,5,0,9,1,7,556,15678
ZCTA5 15679,2957,95,3,0,16,7,31,2795,15679
ZCTA5 15680,188,6,0,0,0,1,0,181,15680
ZCTA5 15681,4772,160,15,0,43,7,52,4475,15681
ZCTA5 15682,250,10,0,0,0,0,0,240,15682
ZCTA5 15683,8285,261,7,4,71,30,78,7803,15683
ZCTA5 15684,471,21,0,0,10,0,5,435,15684
ZCTA5 15686,925,21,0,0,3,2,2,892,15686
ZCTA5 15687,1317,28,2,0,1,1,12,1271,15687
ZCTA5 15688,791,22,0,0,3,4,5,754,15688
ZCTA5 15689,120,1,0,0,1,0,1,117,15689
ZCTA5 15690,8754,491,18,1,332,24,88,7775,15690
ZCTA5 15691,161,0,0,0,0,0,1,160,15691
ZCTA5 15692,944,36,1,0,4,7,23,865,15692
ZCTA5 15693,228,6,0,0,0,0,2,220,15693
ZCTA5 15695,295,15,1,0,1,1,2,275,15695
ZCTA5 15696,252,5,0,0,0,2,5,240,15696
ZCTA5 15697,2923,113,6,0,43,16,37,2695,15697
ZCTA5 15698,767,8,1,0,0,1,1,755,15698
ZCTA5 15701,30269,1093,41,1,1465,635,733,26250,15701
ZCTA5 15705,3374,67,1,0,639,78,301,2281,15705
ZCTA5 15710,305,13,2,0,3,0,1,284,15710
ZCTA5 15711,363,3,0,0,4,0,0,355,15711
ZCTA5 15712,77,0,0,0,0,0,0,77,15712
ZCTA5 15713,251,10,0,0,0,0,0,241,15713
ZCTA5 15714,5477,163,5,3,23,11,45,5221,15714
ZCTA5 15715,647,32,0,0,2,0,9,594,15715
ZCTA5 15716,488,27,0,0,8,2,16,432,15716
ZCTA5 15717,9454,314,13,0,176,36,120,8780,15717
ZCTA5 15720,224,3,0,0,0,0,2,219,15720
ZCTA5 15721,188,6,1,0,1,1,1,178,15721
ZCTA5 15722,2452,49,0,0,3,0,20,2379,15722
ZCTA5 15723,38,1,0,0,1,0,0,36,15723
ZCTA5 15724,1941,35,4,0,4,3,14,1876,15724
ZCTA5 15725,1184,41,0,0,2,4,6,1130,15725
ZCTA5 15727,213,2,0,0,0,0,1,210,15727
ZCTA5 15728,3417,97,5,0,17,12,24,3253,15728
ZCTA5 15729,1315,45,2,1,2,1,10,1254,15729
ZCTA5 15730,129,0,0,0,0,0,1,128,15730
ZCTA5 15731,257,18,0,0,5,0,4,230,15731
ZCTA5 15732,1557,59,0,0,4,0,11,1481,15732
ZCTA5 15733,91,6,0,0,0,0,1,84,15733
ZCTA5 15734,295,3,0,0,4,0,1,286,15734
ZCTA5 15736,397,10,0,0,0,0,0,386,15736
ZCTA5 15737,190,3,0,0,0,0,0,186,15737
ZCTA5 15738,265,9,0,0,0,0,4,252,15738
ZCTA5 15739,417,10,2,0,1,0,8,395,15739
ZCTA5 15741,57,0,0,0,0,0,0,57,15741
ZCTA5 15742,990,40,1,0,10,0,12,926,15742
ZCTA5 15744,74,7,0,0,0,2,1,64,15744
ZCTA5 15745,327,9,0,0,0,0,3,315,15745
ZCTA5 15746,195,0,0,0,1,0,0,193,15746
ZCTA5 15747,1970,44,4,0,4,3,5,1909,15747
ZCTA5 15748,6661,174,0,5,34,15,98,6328,15748
ZCTA5 15750,285,13,0,0,12,0,1,256,15750
ZCTA5 15752,63,4,0,0,0,0,1,58,15752
ZCTA5 15753,514,20,1,0,0,0,1,491,15753
ZCTA5 15754,498,17,3,0,2,1,3,471,15754
ZCTA5 15756,213,11,0,0,0,0,1,201,15756
ZCTA5 15757,1497,34,2,0,3,2,8,1446,15757
ZCTA5 15759,2661,61,2,0,5,4,20,2561,15759
ZCTA5 15760,119,1,0,0,0,0,0,118,15760
ZCTA5 15761,74,0,0,0,0,0,0,74,15761
ZCTA5 15762,875,21,3,0,0,0,5,846,15762
ZCTA5 15763,16,1,0,0,0,0,0,15,15763
ZCTA5 15764,136,1,0,0,0,0,1,134,15764
ZCTA5 15765,1549,32,3,0,5,3,12,1487,15765
ZCTA5 15767,14501,461,20,5,48,38,147,13740,15767
ZCTA5 15770,219,3,0,0,0,0,0,216,15770
ZCTA5 15771,898,18,0,0,2,0,1,877,15771
ZCTA5 15772,1605,39,7,0,7,1,12,1538,15772
ZCTA5 15773,410,19,0,0,0,0,3,388,15773
ZCTA5 15774,2985,74,4,1,11,10,15,2860,15774
ZCTA5 15775,410,12,0,0,1,1,3,393,15775
ZCTA5 15776,62,0,0,0,0,0,1,61,15776
ZCTA5 15777,118,0,0,0,0,0,2,116,15777
ZCTA5 15778,135,6,0,0,0,0,2,122,15778
ZCTA5 15779,399,9,0,0,42,0,9,337,15779
ZCTA5 15780,123,0,0,0,0,0,0,123,15780
ZCTA5 15781,107,3,0,0,0,0,1,103,15781
ZCTA5 15783,103,0,0,0,1,0,0,102,15783
ZCTA5 15784,80,2,1,0,0,0,5,72,15784
ZCTA5 15801,20246,592,23,0,124,214,612,18613,15801
ZCTA5 15821,147,2,0,0,0,0,0,145,15821
ZCTA5 15823,1370,44,0,0,2,6,11,1304,15823
ZCTA5 15824,5370,198,2,0,12,5,26,5124,15824
ZCTA5 15825,9629,255,9,2,36,35,92,9184,15825
ZCTA5 15827,259,14,0,0,0,4,1,240,15827
ZCTA5 15828,297,5,0,0,1,1,2,285,15828
ZCTA5 15829,1146,50,3,0,1,3,6,1082,15829
ZCTA5 15831,197,18,0,0,0,4,1,172,15831
ZCTA5 15832,313,5,0,0,1,1,5,300,15832
ZCTA5 15834,4078,115,8,0,8,24,77,3835,15834
ZCTA5 15840,1892,47,1,0,1,2,28,1813,15840
ZCTA5 15841,208,7,0,0,0,0,0,201,15841
ZCTA5 15845,3088,119,4,3,21,7,44,2886,15845
ZCTA5 15846,3209,71,0,1,2,6,18,3106,15846
ZCTA5 15847,62,2,0,0,0,0,0,60,15847
ZCTA5 15848,945,13,0,0,1,3,3,925,15848
ZCTA5 15849,1195,48,0,0,1,5,15,1124,15849
ZCTA5 15851,6537,251,8,0,12,7,56,6195,15851
ZCTA5 15853,6457,238,1,0,23,23,64,6101,15853
ZCTA5 15856,874,30,3,0,0,4,8,829,15856
ZCTA5 15857,12906,360,6,8,25,58,126,12301,15857
ZCTA5 15860,1118,33,0,1,0,4,4,1075,15860
ZCTA5 15861,135,6,0,0,1,2,2,124,15861
ZCTA5 15863,217,1,2,0,0,0,0,214,15863
ZCTA5 15864,1815,37,0,0,4,1,8,1762,15864
ZCTA5 15865,1187,53,0,0,9,1,6,1117,15865
ZCTA5 15866,230,10,0,0,0,0,0,220,15866
ZCTA5 15868,1570,45,4,0,0,3,16,1501,15868
ZCTA5 15870,1262,35,1,0,1,2,5,1215,15870
ZCTA5 15901,3379,278,10,2,760,15,113,2188,15901
ZCTA5 15902,11107,810,14,5,1846,38,393,7939,15902
ZCTA5 15904,16065,454,12,6,386,283,274,14581,15904
ZCTA5 15905,19654,677,6,6,450,194,440,17838,15905
ZCTA5 15906,10060,529,10,4,1216,26,341,7908,15906
ZCTA5 15909,5116,142,5,1,69,8,72,4804,15909
ZCTA5 15920,780,37,3,0,1,4,11,721,15920
ZCTA5 15921,471,26,2,0,5,0,2,436,15921
ZCTA5 15922,74,1,0,0,0,0,0,73,15922
ZCTA5 15923,1544,60,3,0,21,3,15,1436,15923
ZCTA5 15924,979,16,0,2,2,0,9,949,15924
ZCTA5 15925,162,12,0,0,3,0,3,144,15925
ZCTA5 15926,2429,62,4,1,3,2,21,2334,15926
ZCTA5 15927,1097,37,0,0,7,5,6,1039,15927
ZCTA5 15928,2002,37,2,0,1,0,13,1947,15928
ZCTA5 15929,66,2,1,0,0,0,0,63,15929
ZCTA5 15930,295,15,0,0,4,1,7,268,15930
ZCTA5 15931,9158,193,6,0,216,44,100,8588,15931
ZCTA5 15934,87,1,0,0,2,0,3,81,15934
ZCTA5 15935,2247,59,1,0,4,10,18,2148,15935
ZCTA5 15936,1493,67,0,1,3,1,13,1405,15936
ZCTA5 15937,899,19,0,0,3,2,6,869,15937
ZCTA5 15938,2472,103,0,0,1,0,30,2335,15938
ZCTA5 15940,3712,58,4,1,511,46,196,2887,15940
ZCTA5 15942,1864,19,1,0,17,5,22,1796,15942
ZCTA5 15943,3603,103,2,0,22,0,27,3440,15943
ZCTA5 15944,3151,135,2,0,6,6,27,2971,15944
ZCTA5 15945,218,6,0,1,7,2,3,199,15945
ZCTA5 15946,6642,176,1,1,14,12,64,6364,15946
ZCTA5 15948,525,10,0,0,0,2,5,507,15948
ZCTA5 15949,631,20,0,0,1,1,6,603,15949
ZCTA5 15951,570,8,0,0,1,0,9,552,15951
ZCTA5 15952,1233,33,0,2,2,7,3,1185,15952
ZCTA5 15953,83,5,0,0,0,0,0,78,15953
ZCTA5 15954,2153,57,0,0,15,4,7,2070,15954
ZCTA5 15955,2116,51,0,0,7,0,24,2034,15955
ZCTA5 15956,2626,75,0,0,10,4,31,2504,15956
ZCTA5 15957,380,7,0,0,4,0,2,367,15957
ZCTA5 15958,2136,74,2,0,2,2,23,2033,15958
ZCTA5 15960,280,12,0,0,1,0,2,265,15960
ZCTA5 15961,928,24,0,0,0,2,6,896,15961
ZCTA5 15962,198,1,0,0,0,0,2,195,15962
ZCTA5 15963,10733,336,10,1,39,28,137,10170,15963
ZCTA5 16001,40085,1576,59,14,605,241,836,36651,16001
ZCTA5 16002,15379,412,3,1,153,44,222,14512,16002
ZCTA5 16020,1155,43,2,0,3,1,4,1100,16020
ZCTA5 16022,294,7,0,0,0,0,4,283,16022
ZCTA5 16023,3987,98,2,0,15,8,33,3816,16023
ZCTA5 16024,212,6,0,0,0,2,2,201,16024
ZCTA5 16025,5220,135,3,0,12,5,32,5030,16025
ZCTA5 16027,376,14,0,0,0,0,5,357,16027
ZCTA5 16028,1761,45,1,0,0,7,17,1690,16028
ZCTA5 16029,764,18,0,0,3,0,11,728,16029
ZCTA5 16030,307,6,0,0,0,2,1,297,16030
ZCTA5 16033,6670,242,4,1,22,41,130,6207,16033
ZCTA5 16034,1769,47,1,0,0,0,18,1699,16034
ZCTA5 16035,128,3,0,0,1,0,1,123,16035
ZCTA5 16036,183,3,1,0,0,0,2,177,16036
ZCTA5 16037,5012,156,0,0,33,20,66,4724,16037
ZCTA5 16038,3153,96,1,1,14,9,18,3007,16038
ZCTA5 16040,963,37,0,0,5,2,8,911,16040
